	E2F4	EGR1	ELF1	EPAS1	EYA2	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	IRF9	JUN	KLF6	MAPK1	MEIS1	MYB	MYC	MYCN	NDN	NFAT5	NFATC2	NFE2	NR3C2	NUPR1	PLAG1	RARB	RB1	REL	RELB	RUNX1T1	SALL2	SATB1	SLA2	SMARCA2	SPI1	STAT2	YBX1	ZBTB16	ABL1	BTG2	CBFB	CENPK	CREB5	CTR9	DDX20	ERCC8	GTF2F1	GTF2H1	H1F0	HDAC11	HDAC7	HLF	HMGB2	IRF6	IRF7	JARID2	MAML3	MAPK12	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MIS18BP1	NFKBIA	ORC2	PA2G4	PBX1	PHF10	POLR1B	POLR2B	RNF4	RORC	RUVBL2	SNRPB	SPO11	SRSF1	TOPORS	TRPS1	VDR	XPC	XRCC6	ZDHHC6	ZFP36
REL	0.06524	0.06521	0.04755	0.07938	0.0588	0.04461	0.05077	0.08171	0.07107	0.04589	0.05259	0.09164	0.06232	0.09003	0.09744	0.04763	0.06185	0.05451	0.06923	0.06317	0.08097	0.3174	0.2454	0.07519	0.04762	0.2098	0.08168	0.05013	0.04436	1	0.516	0.04749	0.076	0.05011	0.09288	0.04994	0.07169	0.1802	0.09547	0.05676	0.06001	0.1212	0.168	0.1008	0.06548	0.04801	0.05264	0.06387	0.07623	0.06487	0.1352	0.04417	0.05087	0.07243	0.1153	0.05117	0.06682	0.04298	0.05918	0.055	0.05157	0.04047	0.05666	0.04332	0.03356	0.05802	0.06917	0.08186	0.04646	0.05533	0.06647	0.05984	0.0431	0.03542	0.05285	0.1148	0.06677	0.05639	0.08814	0.05912	0.1291	0.06409	0.04299	0.04895	0.05455	0.05261	0.06007	0.09133
RELB	0.09102	0.06587	0.03791	0.06888	0.04877	0.07465	0.06356	0.07969	0.1186	0.06464	0.05382	0.08079	0.08779	0.075	0.09402	0.06767	0.05739	0.04726	0.06159	0.06319	0.09531	0.3336	0.2648	0.06319	0.04712	0.1801	0.04694	0.05533	0.03454	0.5171	1	0.03396	0.06539	0.06298	0.08021	0.04607	0.06623	0.1715	0.1014	0.05514	0.05681	0.131	0.08644	0.05345	0.08089	0.05923	0.05986	0.06045	0.05361	0.06492	0.1489	0.05932	0.04976	0.06758	0.06382	0.0862	0.07364	0.04287	0.04347	0.05567	0.0432	0.05323	0.05527	0.05413	0.05533	0.05127	0.05064	0.06307	0.05728	0.04838	0.05645	0.06365	0.05348	0.04049	0.03327	0.07519	0.04495	0.05229	0.08909	0.03376	0.1083	0.04815	0.05296	0.04556	0.05936	0.05273	0.05873	0.0823
RUNX1T1	0.0626	0.06939	0.06305	0.04848	0.0642	0.05509	0.04857	0.0915	0.05719	0.07183	0.04483	0.04285	0.06932	0.1791	0.09368	0.05505	0.09354	0.06428	0.07681	0.1028	0.09893	0.0739	0.04503	0.1469	0.05788	0.09654	0.06375	0.06177	0.07679	0.03671	0.04044	1	0.06381	0.07172	0.05566	0.1046	0.06593	0.04825	0.07575	0.04537	0.03992	0.197	0.1208	0.1953	0.1219	0.05413	0.04996	0.05274	0.06916	0.07096	0.1359	0.05603	0.04498	0.1497	0.1079	0.05185	0.04175	0.05077	0.1141	0.05098	0.03833	0.06963	0.04489	0.09009	0.1048	0.05764	0.0504	0.06414	0.04768	0.0367	0.04509	0.08249	0.0601	0.056	0.03333	0.09934	0.07153	0.05626	0.07211	0.0804	0.07005	0.05802	0.06499	0.08946	0.05417	0.04036	0.05069	0.07664
SALL2	0.0541	0.1387	0.05465	0.04944	0.05666	0.05674	0.07207	0.1856	0.03236	0.06742	0.1036	0.03329	0.05425	0.07767	0.2031	0.04277	0.07051	0.05692	0.07735	0.05654	0.06105	0.0378	0.04695	0.08024	0.04393	0.2548	0.1161	0.07371	0.02954	0.06121	0.04276	0.06134	1	0.04996	0.05921	0.04176	0.09475	0.02853	0.08076	0.1009	0.0386	0.08997	0.1069	0.08841	0.1016	0.04097	0.04432	0.04188	0.05685	0.04838	0.115	0.04967	0.03405	0.06434	0.0978	0.04137	0.05414	0.04462	0.05211	0.0464	0.04341	0.04475	0.03597	0.02908	0.0319	0.0439	0.06769	0.05423	0.06751	0.04763	0.06077	0.06002	0.08621	0.02443	0.01895	0.1125	0.07323	0.05096	0.08581	0.06445	0.09871	0.04877	0.05109	0.06058	0.03901	0.0383	0.05609	0.07879
SATB1	0.06261	0.0848	0.06821	0.03735	0.05194	0.05178	0.06387	0.06865	0.04626	0.04618	0.07676	0.05364	0.05826	0.07655	0.1078	0.05872	0.1335	0.07012	0.05793	0.0573	0.07556	0.03645	0.04405	0.08317	0.05226	0.1217	0.05292	0.08429	0.05297	0.0471	0.05439	0.07075	0.0492	1	0.09113	0.05158	0.07484	0.0651	0.05468	0.06256	0.05073	0.1345	0.1031	0.1157	0.07554	0.0398	0.04844	0.02167	0.06024	0.06887	0.1914	0.07199	0.04774	0.0867	0.1546	0.07317	0.06818	0.06422	0.04877	0.05856	0.05189	0.04985	0.03482	0.05722	0.05958	0.04742	0.04603	0.06449	0.08803	0.0476	0.06531	0.1281	0.07627	0.03284	0.06156	0.09748	0.0682	0.06354	0.07455	0.07673	0.08001	0.04156	0.04026	0.09071	0.04573	0.04741	0.06459	0.08316
SLA2	0.08978	0.08676	0.09549	0.1159	0.07837	0.07154	0.07397	0.06978	0.1041	0.07206	0.0916	0.04659	0.07744	0.07331	0.06374	0.08022	0.0643	0.06497	0.07593	0.06937	0.05875	0.08293	0.08149	0.08559	0.06769	0.1814	0.06878	0.09113	0.05631	0.09288	0.07773	0.0676	0.07937	0.08389	1	0.08806	0.07165	0.2168	0.09866	0.07745	0.3609	0.1331	0.1134	0.06216	0.07468	0.0643	0.06227	0.08305	0.07465	0.07573	0.06962	0.02289	0.07961	0.05538	0.09861	0.07765	0.1058	0.03498	0.05525	0.09546	0.07686	0.07357	0.07256	0.0736	0.07771	0.07449	0.05386	0.1167	0.0851	0.0582	0.06884	0.08565	0.08776	0.08414	0.1182	0.08897	0.05848	0.1052	0.09649	0.04595	0.05986	0.09149	0.1118	0.0716	0.09225	0.09005	0.1743	0.0712
SMARCA2	0.06231	0.0698	0.03916	0.03828	0.04332	0.04743	0.06857	0.06992	0.02717	0.1818	0.04412	0.06514	0.05163	0.06223	0.05338	0.05951	0.1217	0.04296	0.05383	0.07701	0.06035	0.0236	0.02882	0.08205	0.03104	0.1421	0.04725	0.04008	0.03583	0.05003	0.04591	0.08656	0.0341	0.05456	0.06088	1	0.07141	0.03025	0.06455	0.04395	0.02781	0.1971	0.101	0.2485	0.08355	0.02721	0.334	0.03124	0.05352	0.06884	0.09829	0.2746	0.02991	0.07356	0.1462	0.03899	0.04847	0.02482	0.03651	0.07624	0.07557	0.08406	0.02335	0.1039	0.09524	0.09722	0.0214	0.02986	0.05832	0.1553	0.05527	0.06351	0.04089	0.02434	0.03289	0.09323	0.04619	0.1991	0.08427	0.1198	0.1159	0.03059	0.02907	0.09814	0.03046	0.06703	0.06443	0.07059
SPI1	0.07215	0.09214	0.3067	0.08552	0.1177	0.07183	0.07828	0.09664	0.09131	0.06095	0.09623	0.2406	0.2261	0.07428	0.08486	0.04936	0.1343	0.0803	0.09863	0.09764	0.125	0.07272	0.07816	0.09206	0.07544	0.1789	0.0831	0.08452	0.06168	0.09614	0.06909	0.079	0.1093	0.1024	0.07165	0.1036	1	0.07126	0.07636	0.0901	0.08249	0.06325	0.06172	0.1127	0.09984	0.09327	0.1059	0.03993	0.09371	0.06676	0.08472	0.04303	0.08424	0.06466	0.09005	0.2406	0.08398	0.09399	0.1055	0.03916	0.06453	0.1713	0.0676	0.1406	0.07062	0.1811	0.08768	0.1182	0.1049	0.07291	0.07761	0.1019	0.06828	0.05846	0.07895	0.09191	0.08555	0.0737	0.08045	0.08527	0.07076	0.08923	0.09327	0.05606	0.06287	0.1145	0.03414	0.07025
STAT2	0.05942	0.04978	0.04386	0.04673	0.06802	0.05622	0.05111	0.0541	0.03647	0.04477	0.04592	0.06331	0.04395	0.08312	0.0639	0.05417	0.08831	0.04847	0.06052	0.06108	0.05919	0.1236	0.127	0.07835	0.03392	0.2748	0.06091	0.05576	0.04563	0.1768	0.1692	0.03824	0.03007	0.04362	0.2428	0.03328	0.08229	1	0.0838	0.05629	0.0279	0.1089	0.09801	0.1512	0.07183	0.05004	0.04108	0.04495	0.08559	0.09494	0.1071	0.09518	0.04708	0.0921	0.1699	0.05676	0.07092	0.03814	0.03181	0.05697	0.04038	0.05677	0.03981	0.05008	0.05408	0.04643	0.02909	0.04477	0.09251	0.05041	0.06104	0.1177	0.0702	0.0364	0.03064	0.1037	0.06661	0.05858	0.1151	0.06014	0.0688	0.03703	0.04095	0.09678	0.03815	0.06079	0.1205	0.09878
YBX1	0.09706	0.06696	0.0805	0.07067	0.07368	0.08412	0.07473	0.07892	0.07427	0.07714	0.07318	0.05876	0.06361	0.07981	0.1089	0.05636	0.06381	0.07566	0.079	0.07107	0.07817	0.09248	0.07083	0.07661	0.08568	0.1273	0.09012	0.06903	0.05986	0.1101	0.09274	0.07575	0.07783	0.08625	0.08758	0.07276	0.07971	0.08453	1	0.07089	0.07796	0.05866	0.1773	0.03707	0.08845	0.07556	0.09183	0.07535	0.07654	0.06135	0.1153	0.0369	0.0667	0.07029	0.1226	0.06223	0.08286	0.07425	0.08645	0.06001	0.0627	0.0786	0.06341	0.05459	0.06948	0.04676	0.0765	0.07394	0.06193	0.0796	0.06806	0.05623	0.06496	0.04655	0.04472	0.09881	0.06735	0.1186	0.108	0.04838	0.08017	0.07312	0.08207	0.06752	0.07993	0.07625	0.07547	0.07133
ZBTB16	0.07485	0.1611	0.05133	0.03859	0.06553	0.04561	0.06815	0.407	0.04144	0.03838	0.1118	0.05491	0.04918	0.0743	0.2493	0.02509	0.09292	0.04835	0.09486	0.06216	0.1118	0.0457	0.05568	0.08973	0.03961	0.2071	0.166	0.05471	0.04931	0.05434	0.05514	0.06058	0.1049	0.05823	0.07988	0.04514	0.1311	0.03769	0.09584	1	0.06142	0.09821	0.1114	0.0934	0.08347	0.05018	0.04731	0.03669	0.06497	0.06243	0.09978	0.05908	0.0501	0.08162	0.1166	0.04405	0.08309	0.07724	0.04118	0.04488	0.0584	0.0436	0.03799	0.05644	0.04413	0.06552	0.1221	0.06892	0.09771	0.07095	0.06441	0.07557	0.09094	0.0461	0.03356	0.1354	0.07596	0.05442	0.07847	0.1062	0.07113	0.06134	0.09456	0.07584	0.04908	0.0378	0.06218	0.08547
ABL1	0.06095	0.07458	0.05162	0.05206	0.0678	0.04718	0.06289	0.06061	0.03118	0.06567	0.04974	0.04115	0.06605	0.06414	0.1015	0.6021	0.07651	0.06132	0.08564	0.0663	0.103	0.02922	0.04608	0.07229	0.03711	0.1211	0.06147	0.07617	0.05282	0.04309	0.06594	0.06358	0.0403	0.06075	0.3527	0.03573	0.08249	0.03262	0.08916	0.05299	1	0.07126	0.0941	0.09779	0.07577	0.03272	0.04332	0.07218	0.05713	0.05552	0.138	0.0699	0.03558	0.1089	0.1066	0.04822	0.07447	0.04354	0.03191	0.5531	0.026	0.04058	0.04726	0.04844	0.03663	0.0297	0.05605	0.0377	0.0727	0.05475	0.09595	0.07254	0.06751	0.0205	0.0553	0.1025	0.06379	0.05462	0.08201	0.09539	0.1125	0.05615	0.05109	0.1003	0.0397	0.05045	0.1174	0.07676
BTG2	0.115	0.117	0.09007	0.154	0.1825	0.1636	0.1062	0.08412	0.07653	0.1199	0.09061	0.1999	0.2059	0.09076	0.06124	0.1225	0.1114	0.1267	0.08177	0.07356	0.1823	0.1317	0.09421	0.2004	0.152	0.1384	0.09782	0.09857	0.2715	0.1299	0.1092	0.2104	0.05097	0.1435	0.1432	0.0882	0.1319	0.1089	0.1043	0.09821	0.07126	1	0.09473	0.114	0.09975	0.1312	0.09514	0.1428	0.08766	0.1474	0.1468	0.08507	0.1071	0.08167	0.1518	0.1571	0.1104	0.14	0.07474	0.1276	0.1761	0.1886	0.08618	0.1635	0.1425	0.08708	0.08305	0.07039	0.09749	0.2062	0.1954	0.1215	0.07302	0.121	0.0644	0.08732	0.1079	0.1345	0.08112	0.1368	0.09978	0.1364	0.08996	0.1653	0.131	0.08396	0.1695	0.08895
CBFB	0.1837	0.09006	0.07726	0.1419	0.0701	0.1201	0.07263	0.1001	0.1292	0.08135	0.06224	0.08431	0.0711	0.233	0.1137	0.1083	0.1399	0.1542	0.1992	0.2059	0.09297	0.0825	0.09576	0.1844	0.07067	0.1217	0.06545	0.07116	0.1813	0.168	0.06575	0.1515	0.1847	0.1079	0.1228	0.1285	0.05984	0.1001	0.1831	0.1034	0.08617	0.09473	1	0.1907	0.1755	0.1958	0.09974	0.1427	0.1559	0.1319	0.07308	0.06177	0.1188	0.07422	0.1121	0.1459	0.1349	0.1049	0.2363	0.1185	0.1059	0.1185	0.09192	0.08313	0.1103	0.09649	0.08051	0.1394	0.06126	0.1056	0.1029	0.105	0.1154	0.1503	0.1248	0.0757	0.09778	0.1339	0.05903	0.1147	0.0866	0.1017	0.09753	0.06404	0.1644	0.09903	0.1339	0.07933
CENPK	0.1531	0.09121	0.1122	0.04455	0.04196	0.1215	0.07214	0.08813	0.09085	0.03196	0.1166	0.0827	0.08043	0.1377	0.1106	0.08445	0.1225	0.07851	0.1328	0.1185	0.1127	0.07017	0.05305	0.1203	0.08379	0.1251	0.07042	0.06935	0.1268	0.07397	0.06311	0.2015	0.1393	0.1292	0.06239	0.2067	0.1174	0.1115	0.0383	0.06363	0.05631	0.114	0.1907	1	0.09798	0.1394	0.08617	0.048	0.06519	0.06716	0.2089	0.06217	0.09994	0.1078	0.08379	0.05255	0.07567	0.08189	0.158	0.08708	0.135	0.1341	0.1501	0.1075	0.1531	0.1492	0.07559	0.09071	0.07793	0.08927	0.08328	0.1182	0.135	0.0678	0.07238	0.04655	0.08021	0.06584	0.04882	0.09324	0.0913	0.06203	0.1397	0.09176	0.1447	0.05427	0.05922	0.07131
CREB5	0.06154	0.08674	0.06216	0.06912	0.05872	0.07015	0.07811	0.09933	0.07334	0.08725	0.06379	0.04732	0.06332	0.1981	0.09425	0.03026	0.06563	0.07562	0.1148	0.1449	0.06572	0.07992	0.08065	0.1825	0.06913	0.1609	0.06792	0.07637	0.07118	0.07086	0.08848	0.09199	0.07378	0.05079	0.05503	0.1318	0.09254	0.06733	0.06692	0.05938	0.07194	0.1045	0.1755	0.212	1	0.0631	0.07397	0.06657	0.09092	0.06349	0.09619	0.03734	0.06629	0.08085	0.08505	0.0811	0.09186	0.07111	0.07734	0.04821	0.05213	0.08591	0.06251	0.05666	0.05348	0.04079	0.08611	0.05863	0.04934	0.08366	0.05369	0.05365	0.07432	0.03143	0.03168	0.1038	0.07064	0.04133	0.08354	0.0361	0.08002	0.06539	0.08522	0.07046	0.07531	0.04499	0.0276	0.1003
CTR9	0.05795	0.05065	0.05007	0.03498	0.06786	0.04235	0.05813	0.05314	0.02902	0.04156	0.04527	0.05453	0.05334	0.06816	0.05719	0.1262	0.07279	0.05585	0.04989	0.05924	0.09985	0.02537	0.03793	0.07017	0.03032	0.1434	0.06344	0.0938	0.08756	0.05861	0.0373	0.05789	0.03673	0.02292	0.04511	0.03505	0.08671	0.05242	0.06988	0.04078	0.03125	0.1152	0.1606	0.09023	0.09086	1	0.03588	0.03917	0.04534	0.09591	0.08232	0.07339	0.03087	0.08224	0.1547	0.05177	0.04274	0.03258	0.04576	0.06183	0.07416	0.03236	0.03821	0.03899	0.04315	0.06337	0.03001	0.03662	0.1821	0.04528	0.08855	0.07867	0.05658	0.04	0.04109	0.107	0.09125	0.05509	0.08247	0.07409	0.09759	0.03948	0.03053	0.1206	0.03848	0.04469	0.06047	0.07054
DDX20	0.05973	0.05236	0.05489	0.03739	0.06062	0.04743	0.05462	0.08464	0.04807	0.1046	0.06276	0.05458	0.0574	0.09524	0.08537	0.04911	0.07253	0.05405	0.07108	0.05114	0.0967	0.04386	0.03636	0.08047	0.0393	0.1726	0.06783	0.07879	0.0411	0.05235	0.0528	0.05746	0.04296	0.06009	0.05979	0.315	0.0929	0.04042	0.09028	0.04748	0.03991	0.1056	0.06632	0.06336	0.0934	0.03816	1	0.04418	0.06775	0.04316	0.1501	0.2035	0.04352	0.08631	0.08404	0.05396	0.07815	0.05487	0.05032	0.06683	0.1223	0.1032	0.04394	0.1071	0.09668	0.107	0.03798	0.05116	0.04763	0.07987	0.05118	0.05004	0.05731	0.03287	0.03345	0.1244	0.05408	0.1749	0.09858	0.1235	0.09423	0.04708	0.03476	0.07169	0.04262	0.0587	0.0657	0.09306
ERCC8	0.06034	0.06199	0.0719	0.06887	0.04328	0.05893	0.05163	0.04586	0.3594	0.03768	0.04927	0.0568	0.03745	0.05301	0.04585	0.06427	0.05131	0.04998	0.0488	0.04183	0.06361	0.06784	0.09499	0.04193	0.03909	0.1074	0.03841	0.04181	0.05555	0.06297	0.06045	0.04676	0.03788	0.04692	0.08305	0.03372	0.07656	0.04384	0.0751	0.03853	0.07216	0.1428	0.1427	0.04826	0.04916	0.03521	0.0639	1	0.04858	0.09253	0.06426	0.04612	0.0333	0.05668	0.09042	0.03911	0.05366	0.04602	0.06906	0.04732	0.0592	0.03286	0.05082	0.08168	0.04229	0.05228	0.04777	0.06027	0.06036	0.04454	0.04846	0.04235	0.05455	0.06624	0.05402	0.06783	0.04676	0.05412	0.08519	0.03575	0.1036	0.05014	0.07526	0.05041	0.07741	0.05641	0.06761	0.05793
GTF2F1	0.05689	0.0782	0.09655	0.06106	0.06156	0.07287	0.04949	0.06563	0.05506	0.03243	0.05125	0.05121	0.05306	0.08068	0.1192	0.04144	0.1017	0.05628	0.09013	0.0574	0.1277	0.08383	0.0488	0.08618	0.05433	0.1189	0.08122	0.05469	0.04127	0.06481	0.04641	0.06778	0.05682	0.07048	0.09312	0.05688	0.1396	0.04678	0.0636	0.06335	0.06467	0.08766	0.1545	0.06486	0.07303	0.05043	0.0747	0.04433	1	0.0456	0.2699	0.04504	0.06822	0.0712	0.07552	0.049	0.06015	0.06109	0.059	0.03653	0.04445	0.09214	0.05439	0.09935	0.0985	0.05133	0.061	0.07329	0.06435	0.04806	0.05183	0.0565	0.07167	0.03019	0.03819	0.1611	0.06276	0.07237	0.084	0.06612	0.09717	0.06134	0.06235	0.06884	0.04736	0.05298	0.06016	0.1068
GTF2H1	0.04054	0.041	0.04307	0.05322	0.04043	0.06803	0.03663	0.07021	0.04674	0.0478	0.07695	0.07915	0.06202	0.06316	0.07001	0.07264	0.09954	0.05557	0.064	0.04946	0.1174	0.05965	0.06576	0.1031	0.05783	0.2372	0.0484	0.09699	0.07038	0.06207	0.06492	0.0657	0.04657	0.07516	0.07837	0.06955	0.06897	0.09501	0.06135	0.06676	0.05552	0.1474	0.1306	0.09612	0.08865	0.09928	0.04291	0.09253	0.0475	1	0.1214	0.05625	0.0547	0.1073	0.1335	0.05796	0.05219	0.06168	0.06336	0.08144	0.04896	0.06659	0.05866	0.03454	0.06195	0.0644	0.04547	0.05169	0.09698	0.06272	0.04444	0.0876	0.07044	0.03534	0.03184	0.07752	0.04857	0.06633	0.04871	0.06828	0.05444	0.03818	0.03889	0.1129	0.0671	0.06121	0.05694	0.05047
H1F0	0.1021	0.1578	0.2305	0.123	0.1064	0.2889	0.1064	0.09408	0.1331	0.1159	0.09424	0.1795	0.1339	0.1723	0.1281	0.07787	0.09274	0.1165	0.1251	0.1013	0.1156	0.1057	0.09556	0.1212	0.1121	0.2047	0.09066	0.153	0.1031	0.1835	0.09722	0.1436	0.1345	0.1216	0.07865	0.1219	0.1026	0.1056	0.106	0.1085	0.135	0.1504	0.1012	0.2	0.1169	0.1228	0.1153	0.09136	0.1351	0.08414	1	0.1211	0.1014	0.08837	0.1212	0.1352	0.2417	0.08407	0.09202	0.07901	0.08104	0.2628	0.2587	0.2232	0.2558	0.2755	0.0927	0.1034	0.1071	0.122	0.09823	0.1122	0.102	0.1007	0.122	0.08952	0.1068	0.1168	0.1225	0.08131	0.08695	0.1035	0.1032	0.1089	0.1151	0.09548	0.08004	0.1066
HDAC11	0.06021	0.07608	0.04644	0.06691	0.1748	0.03654	0.03753	0.06009	0.08021	0.729	0.05518	0.04412	0.03807	0.07079	0.07097	0.04409	0.06355	0.07309	0.0715	0.05272	0.07855	0.05341	0.04346	0.05354	0.08399	0.1043	0.05038	0.1099	0.1187	0.05067	0.07714	0.07399	0.0582	0.05222	0.04859	0.2111	0.06714	0.1116	0.05547	0.05908	0.0699	0.08507	0.1275	0.06217	0.06703	0.1079	0.2114	0.04612	0.04504	0.07694	0.1103	1	0.7085	0.06021	0.08031	0.06578	0.07647	0.06018	0.07053	0.0587	0.1113	0.09209	0.07755	0.09231	0.08512	0.08281	0.059	0.05567	0.1273	0.2669	0.0763	0.0838	0.03735	0.07152	0.05192	0.05444	0.1094	0.111	0.05909	0.05673	0.06268	0.06185	0.04967	0.0571	0.07008	0.1848	0.05991	0.05652
HDAC7	0.07755	0.05234	0.04742	0.03786	0.1245	0.05894	0.05829	0.07192	0.04303	0.6133	0.05419	0.07055	0.06008	0.1034	0.09494	0.0548	0.07988	0.05786	0.05832	0.07625	0.05244	0.04104	0.032	0.06906	0.0406	0.2727	0.06035	0.09345	0.02949	0.05229	0.05043	0.06906	0.03854	0.04889	0.08044	0.03113	0.08389	0.03184	0.07738	0.0522	0.03901	0.06621	0.1188	0.1173	0.0748	0.03283	0.04328	0.02704	0.0717	0.05298	0.1089	0.7081	1	0.07789	0.08804	0.04002	0.05409	0.04975	0.04854	0.03682	0.02977	0.03357	0.03021	0.06279	0.0425	0.08409	0.03268	0.04238	0.06391	0.1472	0.05922	0.0475	0.05887	0.03453	0.0345	0.09667	0.07091	0.07677	0.07938	0.07865	0.06938	0.04024	0.04164	0.07719	0.03462	0.126	0.0507	0.06907
HLF	0.0749	0.06494	0.07721	0.07857	0.06323	0.07905	0.08347	0.09568	0.08278	0.0812	0.08868	0.07157	0.08536	0.217	0.1059	0.04653	0.06857	0.08748	0.1166	0.1689	0.08743	0.08258	0.08186	0.2112	0.0716	0.1422	0.06913	0.08478	0.06936	0.06209	0.07284	0.1519	0.07213	0.07655	0.05511	0.0922	0.07796	0.07559	0.08066	0.07356	0.07231	0.07307	0.1786	0.1079	0.1991	0.07121	0.1091	0.05761	0.1067	0.06939	0.08377	0.06021	0.06417	1	0.0558	0.07802	0.08967	0.06265	0.08886	0.04397	0.06976	0.08635	0.06553	0.06268	0.06887	0.06462	0.06671	0.06938	0.06109	0.06941	0.05608	0.06576	0.07892	0.05069	0.05745	0.1046	0.08088	0.03675	0.08277	0.03186	0.08835	0.06024	0.07255	0.0854	0.08983	0.05858	0.04822	0.06734
HMGB2	0.1242	0.1106	0.06779	0.1252	0.05799	0.0738	0.06553	0.07299	0.08601	0.07073	0.08944	0.05529	0.06716	0.1392	0.1575	0.0692	0.1135	0.07887	0.08992	0.1339	0.1168	0.06502	0.07892	0.1412	0.1116	0.122	0.07554	0.0674	0.04819	0.09538	0.06382	0.1382	0.07231	0.1546	0.04547	0.1593	0.0849	0.1392	0.07226	0.0762	0.154	0.1046	0.1719	0.1466	0.143	0.165	0.06397	0.04988	0.135	0.1573	0.1207	0.0544	0.08015	0.1497	1	0.08359	0.09178	0.1206	0.122	0.09033	0.104	0.06028	0.1448	0.1389	0.1473	0.141	0.1134	0.09152	0.08076	0.1213	0.0933	0.1489	0.1573	0.129	0.141	0.05261	0.1177	0.06375	0.04412	0.07872	0.06235	0.07992	0.08655	0.1166	0.1632	0.1174	0.08485	0.07198
IRF6	0.06277	0.0543	0.1548	0.071	0.05178	0.1162	0.04914	0.06836	0.0658	0.04806	0.0592	0.4073	0.3657	0.09239	0.08645	0.06264	0.05856	0.05633	0.04982	0.05253	0.08927	0.05216	0.09613	0.05996	0.08192	0.18	0.04462	0.04121	0.05194	0.06334	0.09039	0.07392	0.04672	0.07444	0.07765	0.05257	0.2381	0.0638	0.06514	0.07969	0.05806	0.1571	0.1172	0.07726	0.08399	0.04808	0.06055	0.04238	0.06913	0.08623	0.1988	0.06578	0.04849	0.07559	0.09824	1	0.3739	0.09126	0.04214	0.05733	0.04397	0.06377	0.07112	0.07074	0.05374	0.05385	0.06969	0.05692	0.04994	0.08297	0.04293	0.06011	0.06286	0.06326	0.06179	0.08899	0.06639	0.05658	0.08332	0.03323	0.09878	0.05978	0.05077	0.06408	0.07781	0.08786	0.05389	0.07413
IRF7	0.06234	0.06225	0.1444	0.05542	0.04819	0.1294	0.04745	0.07804	0.09188	0.07031	0.06968	0.3971	0.3413	0.1071	0.103	0.05839	0.07548	0.06509	0.07925	0.0674	0.101	0.09772	0.09686	0.06483	0.04882	0.2047	0.09041	0.04672	0.04379	0.05646	0.04754	0.05113	0.07023	0.05397	0.09553	0.04869	0.06631	0.05153	0.06909	0.05934	0.05257	0.1074	0.1214	0.1099	0.0812	0.05862	0.07852	0.05718	0.0715	0.05854	0.2466	0.07766	0.06022	0.08575	0.1101	0.3665	1	0.05703	0.06363	0.06921	0.04996	0.05508	0.05592	0.04971	0.0623	0.06838	0.04371	0.04966	0.05566	0.06271	0.02873	0.08851	0.0742	0.05332	0.03783	0.09815	0.08338	0.04902	0.09307	0.03058	0.07566	0.05222	0.07283	0.05944	0.05417	0.05728	0.0561	0.09306
JARID2	0.0516	0.06031	0.05955	0.04294	0.0589	0.05173	0.05388	0.07865	0.03069	0.03032	0.05216	0.0531	0.08217	0.08288	0.1033	0.0495	0.1014	0.05142	0.06717	0.07897	0.06311	0.02882	0.04115	0.0751	0.03951	0.1518	0.05712	0.05858	0.03009	0.04314	0.04226	0.04554	0.04081	0.0516	0.05139	0.02368	0.1031	0.03814	0.08892	0.05426	0.04316	0.14	0.08431	0.1051	0.06602	0.03442	0.04339	0.05513	0.05262	0.04552	0.08756	0.0657	0.05603	0.06416	0.1363	0.1055	0.05703	1	0.0421	0.05156	0.02668	0.03297	0.03077	0.02557	0.03978	0.03358	0.03275	0.04109	0.08076	0.07731	0.06477	0.05961	0.05812	0.03824	0.03082	0.1149	0.07509	0.02512	0.09401	0.06925	0.05887	0.04773	0.02856	0.07092	0.03491	0.06258	0.09015	0.1033
MAML3	0.05454	0.05311	0.05053	0.04106	0.08767	0.0481	0.06236	0.05764	0.04597	0.04525	0.05215	0.04886	0.06046	0.08801	0.1071	0.04958	0.0825	0.0737	0.06647	0.06375	0.06496	0.04044	0.0444	0.07086	0.04481	0.2244	0.05702	0.06171	0.02465	0.04441	0.04265	0.06482	0.04907	0.04414	0.04016	0.03239	0.104	0.03863	0.08636	0.03964	0.03112	0.09254	0.1342	0.1412	0.08591	0.04733	0.05082	0.07122	0.07301	0.06468	0.09122	0.04553	0.03388	0.06961	0.1321	0.06294	0.06407	0.04149	1	0.05775	0.03552	0.03717	0.0364	0.04194	0.02696	0.02216	0.03374	0.04047	0.07328	0.04838	0.0651	0.07713	0.05979	0.01951	0.02231	0.09178	0.07156	0.03951	0.1042	0.06142	0.06374	0.04476	0.03229	0.04448	0.04402	0.04303	0.02932	0.08158
