"TF","Target","pred_prob"
"RELA","TMEM147",0.08218448
"BATF3","PSMA3",0.08217575
"STAT1","DENR",0.08217374
"BATF3","SPCS1",0.08215343
"BATF3","HSP90AB1",0.08208879
"STAT3","TUBA1B",0.08195897
"STAT1","NDUFV2",0.08189623
"ATF4","MRPL54",0.08179614
"BATF3","ATP5B",0.08165842
"STAT3","HNRNPC",0.081643604
"CTCF","ELF1",0.08159744
"STAT1","RPL26",0.081541374
"ATF4","NDUFB3",0.081534125
"BATF3","TMEM128",0.08149304
"CTCF","CYTIP",0.08146704
"ATF4","DAP",0.08146022
"RELA","RPL21",0.08139113
"RELA","LYZ1",0.08133602
"BATF3","CTSH",0.081278585
"IRF1","UCP2",0.08126212
"BATF3","COPS5",0.08104411
"STAT3","POLR2A",0.08097341
"CTCF","VPS25",0.08087281
"CTCF","CCT3",0.08080279
"IRF1","MDH2",0.08076617
"ATF4","RASGEF1B",0.08072356
"BATF3","MRPL14",0.08069975
"IRF4","NAAA",0.08069626
"IRF1","RFX7",0.080595635
"BATF3","CNDP2",0.08044409
"CTCF","MYEF2",0.08039907
"SUMO2","SLC25A5",0.08020618
"STAT1","MT2",0.08011527
"CTCF","FOXN2",0.08000473
"IRF1","RUVBL2",0.079996094
"ATF4","ZEB2",0.079786666
"STAT3","RPS20",0.07972673
"CTCF","KHDRBS1",0.07962897
"STAT1","EIF4A1",0.079609424
"SUMO2","IRF2",0.07958141
"RELA","AP2M1",0.07957918
"CTCF","NCF4",0.07956949
"CTCF","GTF2A2",0.07946062
"BATF3","ATP1B3",0.07914852
"RELA","SSR3",0.079102606
"CTCF","IL7R",0.07905078
"SUMO2","SGK1",0.07888892
"BATF3","SP100",0.07876078
"IRF4","PABPC1",0.07870702
"SUMO2","H2-T23",0.07868663
"IRF1","CLEC4N",0.07865722
"IRF1","SNX3",0.07859439
"RELA","PLD3",0.07857705
"STAT1","PILRA",0.078573324
"SUMO2","PABPC1",0.07855679
"BATF3","TBCB",0.07845384
"CTCF","HCLS1",0.07840622
"CTCF","MAPK1",0.07818482
"CTCF","BATF3",0.07809955
"RELA","CTSH",0.077954225
"IRF1","EDF1",0.077922
"STAT1","MORF4L1",0.077886924
"IRF1","KLK1B11",0.07785188
"CTCF","UBP1",0.07783268
"STAT1","MRPL55",0.07782612
"RELA","TCF7L2",0.07778582
"CTCF","YEATS4",0.07775121
"SUMO2","ZYX",0.07772059
"BATF3","NRAS",0.07766045
"IRF1","RBBP7",0.077567674
"BATF3","LGALS3BP",0.077533446
"RELA","PGK1",0.07746058
"STAT3","NAMPT",0.07743099
"IRF1","EIF3I",0.07737867
"STAT1","TCERG1",0.077375755
"RELA","NONO",0.07722615
"BATF3","SIRPB1B",0.077041455
"SUMO2","MS4A6D",0.07703312
"SUMO2","RPS10",0.076950386
"RELA","LYZ2",0.07692423
"RELA","RPL3",0.076873034
"CTCF","ENO1",0.07685095
"STAT1","PTP4A1",0.07675361
"CTCF","RNH1",0.07670786
"STAT1","PSMB8",0.07669493
"STAT1","TMED2",0.076655276
"STAT3","IL1A",0.07645561
"BATF3","PER1",0.07640995
"IRF1","GTF2B",0.076387376
"CTCF","EIF1AX",0.076344736
"BATF3","DNMT1",0.07634217
"SUMO2","GRN",0.07628445
"IRF1","SDHC",0.076264136
"CTCF","REL",0.07625934
"STAT1","TECR",0.07619218
"RELA","IFRD1",0.07618901
"BATF3","CTSL",0.07613877
"IRF1","LSP1",0.07592616
"STAT1","AA467197",0.07580389
"BATF3","SQSTM1",0.07578933
"RELA","TMED2",0.07570657
"ATF4","TAGLN2",0.075637616
"STAT1","CHMP5",0.07558618
"STAT1","IMPACT",0.07552486
"BATF3","RAB7",0.075366996
"RELA","EEF1A1",0.07535238
"IRF1","WBP11",0.07530638
"IRF4","MRPL54",0.07523613
"BATF3","SEPT2",0.07521658
"IRF1","CTSH",0.075140424
"CTCF","IRF5",0.07512358
"BATF3","RPL3",0.07511678
"BATF3","ATP5G2",0.07497943
"BATF3","FOS",0.074957624
"CTCF","SP100",0.07485667
"IRF1","NCK1",0.074679755
"BATF3","HSP90B1",0.07461423
"BATF3","CIC",0.07455031
"IRF1","BHLHE40",0.074509054
"BATF3","MEA1",0.07450312
"IRF4","TAF7",0.074501015
"CTCF","PBRM1",0.074477114
"IRF1","ATP6V1D",0.074358754
"CTCF","CD274",0.07433338
"IRF1","RNF181",0.07429685
"IRF1","RHOG",0.07428203
"CTCF","MT1",0.07427083
"STAT1","ASAH1",0.07426342
"BATF3","MT1",0.07424303
"STAT1","SSR4",0.07423964
"SUMO2","MGST3",0.07422585
"IRF4","TRAPPC4",0.074097484
"STAT1","TRF",0.07407564
"BATF3","BZW1",0.07403191
"RELA","TMEM50A",0.07392006
"BATF3","TCF7L2",0.0739046
"SUMO1","RPS8",0.07390309
"CTCF","ATP6V1C1",0.07385409
"STAT1","MAPK14",0.0738348
"STAT1","PPP2R5C",0.07380058
"AHR","CXCL2",0.073776454
"RELA","XBP1",0.07369899
"STAT3","SNX10",0.07369753
"BATF3","RNASEK",0.07367335
"CTCF","MALT1",0.07359118
"STAT1","RPL5",0.073527925
"BATF3","MRFAP1",0.07347321
"CTCF","CDKN1A",0.07345149
"CTCF","GLRX",0.0734288
"STAT1","SLC39A1",0.073347494
"IRF4","LEPROT",0.073333316
"RELA","COMMD1",0.07325083
"CTCF","TAGLN2",0.07324728
"CTCF","TOB1",0.0732395
"BATF3","AEBP2",0.07322387
"CTCF","TRAPPC2L",0.07314748
"IRF1","CETN3",0.07311019
"ATF4","S100A6",0.07310098
"RELA","DNMT1",0.07309483
"ATF4","RPS7",0.07307882
"RELA","TOMM5",0.0730655
"RELA","HSP90B1",0.07302706
"STAT1","CISH",0.07302351
"CTCF","CD47",0.073009096
"SUMO2","TFEC",0.07298606
"STAT1","SSRP1",0.072968915
"STAT3","SIRPA",0.072935045
"STAT1","DEGS1",0.07290557
"SUMO2","CHMP2A",0.072894216
"CTCF","MEF2A",0.07271895
"BATF3","MYL12B",0.07271095
"IRF1","LITAF",0.07263184
"CTCF","IRF2",0.07255281
"STAT1","NCK1",0.072547175
"IRF4","MT1",0.07247119
"BATF3","BHLHE40",0.07246803
"IRF1","NDUFB9",0.07246755
"IRF1","HIST1H1C",0.072391756
"ATF4","ITGAX",0.0722265
"IRF4","ACTN1",0.07211689
"BATF3","TMEM50A",0.07186979
"RELA","NDUFA9",0.07178882
"RELA","RPS29",0.0717793
"SUMO2","MRPL54",0.07166516
"RELA","TBXAS1",0.07163872
"STAT3","NONO",0.07158264
"RELA","CANX",0.07156771
"AHR","CCL4",0.071548924
"IRF1","S100A6",0.07152399
"STAT1","MBNL1",0.07147628
"CTCF","EIF3I",0.071450084
"CTCF","DAP",0.07141975
"RELA","HERPUD1",0.07132887
"BATF3","JUNB",0.07129745
"CTCF","SKAP2",0.07122126
"CTCF","CBFB",0.07121758
"STAT1","TNFAIP2",0.07121118
"EGR2","NAAA",0.07117279
"STAT1","PMP22",0.0711282
"BATF3","POLR2A",0.071064
"IRF1","TMEM208",0.07105193
"BATF3","XBP1",0.07094995
"BATF3","PGK1",0.07086349
"CTCF","HSPE1",0.070809126
"STAT1","NDUFA13",0.0707373
"IRF1","PPP2R5C",0.070727006
"STAT1","HNRNPC",0.07068564
"IRF1","GOLT1B",0.07067209
"BATF3","TMED2",0.070538536
"SUMO2","CD36",0.070425995
"RELA","TECR",0.07035631
"CTCF","ARID1A",0.070356116
"BATF3","PSMB9",0.070296556
"SUMO1","RPS7",0.07022971
"BATF3","CNOT6",0.0702161
"SUMO2","COX6A1",0.07010864
"IRF1","KDM5A",0.07004433
"CTCF","UBE2K",0.07000766
"BATF3","ATP6V0C",0.069971636
"IRF1","CD74",0.06990818
"STAT3","TREX1",0.069848284
"IRF1","GPX1",0.069819294
"IRF1","SLC25A5",0.069780655
"ATF4","CTSA",0.06975282
"CTCF","HIST1H1C",0.06969784
"SUMO2","TREX1",0.06966838
"IRF4","NRAS",0.06965461
"BATF3","ATF3",0.06962241
"IRF1","MRPL14",0.069516785
"SUMO2","DEK",0.069450654
"IRF1","CKS2",0.06935405
"BATF3","TRAPPC2L",0.069339834
"BATF3","SRSF2",0.06931497
"ATF3","POMP",0.069267385
"SUMO2","MRPS16",0.069221824
"STAT1","RPL21",0.068975344
"IRF1","RPL41",0.068827614
"ATF4","RNPS1",0.06878972
"CTCF","JMJD1C",0.068728514
"SUMO1","RPS11",0.06871495
"BATF3","ATP6V1D",0.06871483
"IRF1","CIC",0.068540916
"IRF1","NDUFS5",0.06850254
"CTCF","ZFP36L1",0.06847199
"EGR1","RPL9",0.06846208
"SUMO2","ABCG1",0.068459146
"BATF3","SAMHD1",0.06845783
"RELA","TRAPPC4",0.068440236
"SUMO2","RUNX1",0.06837927
"RELA","HSP90AB1",0.06835038
"CTCF","DPY30",0.06819764
"IRF1","EIF4A1",0.06804104
"SUMO2","CD164",0.068014756
"CTCF","KLF10",0.06785886
"IRF1","THRAP3",0.06781869
"BATF3","CCT8",0.06772174
"RELA","GLRX",0.067657836
"STAT1","CD83",0.0675976
"BATF3","PSMA5",0.06741964
"STAT1","GSTO1",0.06731445
"ATF4","LEPROT",0.06724639
"BATF3","MED1",0.06722803
"CTCF","MRPL30",0.067211814
"CTCF","TUBA1B",0.06712735
"BATF3","SSR3",0.06711503
"STAT3","ENO1",0.06709689
"STAT1","PPIA",0.0670791
"CTCF","RBBP4",0.067041524
"STAT1","LY6E",0.06700046
"IRF1","UBC",0.06698482
"IRF4","PSMB9",0.066956006
"CTCF","NSMCE2",0.06690316
"IRF1","ATP5L",0.06688428
"BATF3","IMPACT",0.06683363
"BATF3","FOSB",0.06676636
"RELA","ATP6V0B",0.06674105
"CTCF","IRF1",0.06673204
"CTCF","TREM2",0.06657492
"IRF1","ATF3",0.06655607
"BATF3","NR4A1",0.06652884
"STAT1","GUSB",0.066449806
"STAT3","IFRD1",0.0663673
"CTCF","SAMHD1",0.066359065
"IRF4","MAPK1",0.06630871
"CTCF","HNRNPAB",0.066228494
"BATF3","RNF149",0.06618777
"RELA","RNF13",0.06618759
"STAT1","HDGF",0.06618051
"BATF3","CALM1",0.06615481
"CTCF","NDUFS5",0.06615215
"CTCF","MATR3",0.066066265
"STAT3","PTP4A1",0.06602525
"CTCF","ZFP91",0.06597111
"CTCF","NDUFB3",0.06597107
"STAT1","UBC",0.06595942
"CTCF","PLIN2",0.06581599
"IRF4","GTF2A2",0.065728694
"CTCF","TBPL1",0.06567492
"CTCF","EDF1",0.06567466
"IRF4","SLC25A5",0.06567067
"BATF3","PMP22",0.06557819
"CTCF","ZFP36",0.06550392
"IRF1","COX7A2L",0.06550354
"CTCF","CST3",0.06539396
"SUMO1","RPS28",0.06537726
"STAT3","TARDBP",0.06530187
"IRF4","LYZ2",0.06529709
"CTCF","SNX3",0.06527396
"STAT3","MCM4",0.06523263
"CTCF","RBBP7",0.065182075
"STAT1","CIITA",0.06505992
"IRF1","FAM162A",0.06505668
"BATF3","MRPL55",0.06502847
"RELA","HBP1",0.064997286
"RELA","TARDBP",0.064971715
"IRF1","RPS27",0.064895056
"EGR1","SEC61B",0.06476741
"CTCF","SUB1",0.06473573
"RELA","FOSB",0.06471189
"IRF1","CD48",0.06470628
"IRF4","MAPK14",0.06464703
"BATF3","SERPINB6A",0.064528145
"IRF1","COMMD1",0.064521514
"RELA","MAFF",0.06449894
"STAT1","KHDRBS1",0.06446145
"CTCF","SQSTM1",0.06446111
"BATF3","PSMB2",0.06445393
"CTCF","H2-D1",0.06443494
"EGR1","CNOT2",0.06431087
"STAT1","VTA1",0.06423506
"STAT1","IL7R",0.06422494
"IRF2","EMP3",0.064214535
"IRF1","BIRC5",0.06421152
"RELA","TBCB",0.06420481
"RELA","CACYBP",0.06420368
"SUMO2","ATP5L",0.06420066
"ATF4","CDC42",0.064089365
"RELA","UCP2",0.06403986
"SUMO2","ATF6",0.06401402
"CTCF","NDUFB9",0.064007044
"BATF3","HERPUD1",0.063986525
"STAT1","TRAPPC4",0.063976966
"IRF1","TOB1",0.06386953
"IRF4","SP100",0.06377862
"BATF3","CKS2",0.063765615
"STAT1","PSMA1",0.06374347
"RELA","MAPK14",0.063653335
"STAT1","PCBP2",0.06362936
"CTCF","TCF12",0.06350233
"SUMO2","S100A6",0.06345372
"RUNX1","CXCL2",0.06343973
"IRF1","PLK2",0.063403
"BATF3","TECR",0.063385874
"IRF1","SNAPC5",0.06336299
"STAT3","PABPC1",0.0633273
"CTCF","GTF2B",0.06328289
"IRF1","CCT4",0.063276716
"BATF3","NCF1",0.063057944
"SUMO2","TRIM30A",0.06304884
"STAT1","JUN",0.06291879
"IRF4","NDUFA9",0.06288971
"AHR","DENR",0.06288811
"IRF4","NONO",0.06277089
"RELA","HDGF",0.062740654
"CTCF","SUMO1",0.062696435
"IRF1","TRA2B",0.062694415
"CTCF","MTHFS",0.0626658
"BATF3","SSRP1",0.06259933
"BATF3","PPIB",0.06257853
"STAT1","CHD7",0.06245082
"CTCF","TANK",0.062376536
"RELA","MRC1",0.062308032
"BATF3","ILF3",0.06225488
"SUMO2","FOSB",0.06221763
"CTCF","TUBB6",0.062173493
"IRF1","ENO1",0.062002756
"SUMO2","HDAC1",0.061896574
"IRF4","TMEM208",0.061845005
"IRF1","PSAP",0.061792437
"CTCF","RPS27A",0.061698753
"RELA","NCF1",0.06169034
"ATF4","FCER1G",0.06163468
"CTCF","HMGA1",0.061633
"IRF1","CD300LF",0.06162206
"RELA","JUN",0.061579734
"CTCF","KDM5A",0.061566398
"CTCF","LGALS9",0.061562154
"RELA","TAF7",0.06153774
"BATF3","M6PR",0.06152355
"STAT3","F10",0.061513696
"IRF1","UBTF",0.06150729
"BATF3","TCIRG1",0.061475944
"CTCF","ARF4",0.061412547
"RELA","GPX1",0.0613616
"IRF1","UBB",0.06135518
"RELA","CETN3",0.06134579
"SUMO2","TMEM147",0.061310668
"SUMO2","FOS",0.0612278
"CTCF","PSMB9",0.061190132
"STAT1","TREM2",0.061153546
"STAT3","RHOG",0.061151598
"CTCF","FAM162A",0.061116286
"SUMO2","POMP",0.061060254
"CTCF","TMSB4X",0.06098225
"ATF4","BCAP31",0.060925316
"CTCF","SLAMF9",0.060895942
"SUMO2","TBRG1",0.060883936
"BATF3","EIF3K",0.060882922
"BATF3","MORF4L2",0.060781192
"STAT3","TGIF1",0.06076923
"IRF4","POLR2I",0.06075605
"CTCF","CD300LF",0.060746983
"ATF4","NCF4",0.060712665
"STAT3","HIF1A",0.060682844
"STAT1","RBM7",0.060663912
"BATF3","ARPC4",0.06066083
"STAT3","DPF2",0.060649667
"CTCF","TRA2B",0.06064953
"CTCF","RFX7",0.06056914
"BATF3","PSMA7",0.06054501
"CTCF","BIRC5",0.060438093
"STAT1","RPL37",0.06038263
"RELA","CALM1",0.060380448
"ATF4","LAT2",0.060331043
"STAT1","DPF2",0.060313653
"CTCF","TPT1",0.060236298
"BATF3","UCP2",0.06022715
"STAT1","RPL11",0.060182724
"STAT1","ACTR3",0.06013241
"STAT1","RPS19",0.06011851
"CTCF","EHMT1",0.06008141
"BATF3","MRPL54",0.06008
"IRF1","ATOX1",0.06007986
"BATF3","GTF2A2",0.059923463
"RELA","MEA1",0.059858922
"BATF3","RUVBL2",0.05981898
"CTCF","FOSL2",0.059794053
"STAT1","RPS15",0.059773613
"CTCF","TRIM28",0.059689414
"STAT3","MAP1LC3B",0.059635323
"IRF4","POLDIP3",0.059610777
"CTCF","NFIL3",0.059591293
"BATF3","HBP1",0.05950978
"BATF3","TRAPPC1",0.05944404
"STAT1","RPL36",0.059443016
"STAT1","IL1A",0.059415706
"ATF4","VPS25",0.0594115
"CTCF","THRAP3",0.0593964
"STAT1","SIRT2",0.05938534
"BATF3","RPS25",0.05936189
"BATF3","ATF4",0.059360128
"CTCF","NRAS",0.05933745
"STAT1","RPL38",0.059277304
"CTCF","RPL3",0.059194613
"HIF1A","NAAA",0.059187464
"IRF1","SRSF5",0.059110563
"STAT1","CYBA",0.059084725
"STAT1","RPL35",0.059058666
"SUMO2","RPL24",0.058970887
"STAT1","GSTM1",0.05896626
"STAT1","RPS25",0.058913875
"IRF1","TNIP3",0.058875594
"SUMO2","RPL3",0.05887013
"CTCF","DPF2",0.058847766
"IRF1","DPY30",0.058807574
"CTCF","CASP1",0.058765423
"RELA","NR4A1",0.058757976
"CTCF","ACTN1",0.05862719
"CTCF","PSME2",0.058610633
"SUMO2","PSAP",0.05855757
"ATF4","LAMP1",0.05853897
"RELA","NFE2L2",0.058504183
"SUMO2","ENO1",0.058486447
"SUMO2","CCR1",0.058376025
"BATF3","NAP1L4",0.058372524
"STAT3","NCK1",0.058365636
"CTCF","CDC42",0.058297478
"BATF3","PSMB3",0.058237787
"BATF3","MTHFS",0.058196884
"STAT1","RAC2",0.0581527
"CTCF","DDX5",0.05812587
"STAT3","RAC2",0.058045723
"IRF4","NFE2L2",0.05802891
"RELA","ACOT7",0.057975944
"IRF1","CCT8",0.057943523
"MAFF","LEPROT",0.057930086
"RELA","NFX1",0.05790066
"BATF3","PSMA4",0.057896588
"STAT3","STAT1",0.05789446
"BATF3","CXCL2",0.05788578
"MAFF","CLEC4B1",0.057871453
"CTCF","MDH2",0.05773885
"IRF4","CHD7",0.057729263
"BATF3","DAP",0.05769089
"SUMO2","NR4A1",0.057684377
"STAT3","ATOX1",0.05767425
"RELA","PDIA3",0.057633635
"IRF1","CFP",0.05763223
"CTCF","CD74",0.057628214
"SUMO2","RPS27",0.05759736
"CTCF","ALAS1",0.057593435
"RELA","PER1",0.05757893
"SUMO2","NFIL3",0.057570636
"STAT1","PRDX1",0.057550926
"STAT1","RPL32",0.057498563
"CTCF","IGSF6",0.057495594
"ATF4","1810022K09RIK",0.057485633
"STAT3","CKS2",0.05743965
"STAT3","ATP5G2",0.057296153
"CTCF","VDAC2",0.05726596
"RELA","TRAPPC1",0.057208516
"STAT1","GLRX",0.05720427
"IRF4","TUBA1B",0.05718109
"BATF3","CCT5",0.057076965
"RELA","ATP6V1B2",0.057040866
"CTCF","ING1",0.05703555
"RELA","VDAC2",0.057035226
"ATF4","TREX1",0.056898065
"SUMO2","SP1",0.056892894
"CTCF","CCR1",0.05688778
"ATF4","CLEC4A2",0.056831528
"STAT1","RPL18A",0.056800183
"BATF3","TARDBP",0.056783542
"CTCF","ATF4",0.056703538
"CTCF","NFKBIA",0.056590058
"STAT1","GLIPR1",0.05656219
"STAT3","PRPF40A",0.05652866
"STAT3","TFDP1",0.0565232
"ATF4","TOMM5",0.056513347
"STAT1","FCGR3",0.056505308
"CTCF","GABARAP",0.05649885
"CTCF","NR4A1",0.056459464
"CTCF","KLK1B11",0.05641446
"RELA","CLK1",0.056388017
"RELA","SSRP1",0.056374725
"IRF1","RPS10",0.056363422
"MAFF","DPF2",0.05632634
"CTCF","FOSB",0.056253765
"IRF4","TRAPPC2L",0.056231037
"CTCF","RUNX1",0.05618985
"STAT3","MYL6",0.05610743
"IRF1","SRSF3",0.05609925
"IRF1","RPS12",0.056091875
"STAT1","NFKBIZ",0.056075327
"SUMO2","RPS27A",0.056067046
"ATF4","NME1",0.056023736
"CTCF","CTNNB1",0.056003574
"SUMO2","RPSA",0.055990506
"STAT1","NDUFS7",0.055941507
"MAFF","EHMT1",0.055851925
"BATF3","SNX2",0.055822838
"SUMO2","CIC",0.055810153
"RELA","DEGS1",0.05580449
"STAT1","MDM2",0.055788487
"RELA","RNF149",0.055756368
"RELA","PSMB9",0.055721577
"IRF1","NAPSA",0.055712435
"IRF4","EIF3K",0.05571181
"SUMO2","SUMO1",0.05567458
"IRF1","ATP5G2",0.0556555
"STAT1","RPS11",0.055653024
"IRF1","RPS8",0.055486575
"CTCF","GPX1",0.055463545
"SUMO1","PAIP2",0.05545425
"STAT1","POLR2C",0.05545079
"BATF3","ARL6IP1",0.055385817
"IRF1","ARPC5",0.055344645
"SUMO2","RGS1",0.055340268
"IRF4","TARDBP",0.055300828
"IRF1","ACOT7",0.055299904
"RELA","SUB1",0.05528043
"STAT1","RNPS1",0.05527526
"CTCF","DPYSL2",0.0552689
"BATF3","SLC25A5",0.055243246
"IRF1","RPS29",0.055200342
"CTCF","MRPL52",0.055151768
"RELA","BUD31",0.055148713
"BATF3","SIN3B",0.05511333
"CTCF","COX7C",0.05510294
"BATF3","LGALS9",0.054975986
"STAT1","CIC",0.05493912
"RELA","POLD4",0.054919332
"SUMO1","RPL26",0.05488724
"RELA","LGALS3BP",0.054881636
"STAT1","HERPUD1",0.05487375
"CTCF","MPEG1",0.0547939
"RELA","HMGB2",0.05478236
"IRF4","CKS2",0.054767914
"CTCF","NINJ1",0.05476431
"STAT3","PILRA",0.05474397
"CTCF","PTP4A2",0.054735873
"STAT1","RPS26",0.054729063
"SUMO2","MCM4",0.054696497
"MAFF","SRRM1",0.054669358
"BATF3","GPX1",0.054649573
"BATF3","COX17",0.054633424
"CTCF","ATF6",0.05459081
"SUMO2","RPL41",0.054551497
"BATF3","TSG101",0.054521907
"RELA","MAP1LC3B",0.054467253
"ATF4","SKIL",0.05441293
"RELA","RAB7",0.054365195
"CTCF","SLAMF7",0.054240324
"CTCF","SRSF5",0.054239184
"IRF4","MRPL30",0.05423037
"ATF4","POLR2C",0.054164384
"STAT1","VIM",0.054162063
"STAT1","AEBP2",0.05416077
"STAT3","CD302",0.05413981
"IRF1","DPF2",0.05409567
"ATF4","ETS2",0.05409372
"STAT1","MRPL54",0.05397343
"SUMO1","EIF1AX",0.053969506
"CTCF","HHEX",0.05396798
"SUMO2","NDUFA9",0.053961933
"STAT3","SUMO1",0.05394582
"IRF4","HAX1",0.05394187
"SUMO2","CREB3",0.053839553
"STAT3","TNFRSF1B",0.05383519
"CTCF","CFDP1",0.053732254
"EGR1","MORF4L2",0.053713366
"IRF1","TRAPPC4",0.05369974
"STAT3","MAPK1",0.053653024
"BATF3","DNAJC8",0.053624436
"STAT1","RPL8",0.053593412
"STAT1","RPS14",0.05353466
"RELA","TCIRG1",0.053421542
"BATF3","SF1",0.05335773
"SUMO2","IQGAP1",0.05334622
"STAT3","NFKBIB",0.053291954
"STAT1","NAAA",0.053249054
"BATF3","SRP19",0.053175144
"STAT1","CCR1",0.05313682
"STAT1","ETS2",0.053111155
"CTCF","BCAP31",0.053099703
"BATF3","SSU72",0.0530803
"ATF4","GRCC10",0.053001396
"CTCF","SDHC",0.052990474
"STAT3","CLEC4B1",0.05297738
"BATF3","UQCRFS1",0.052876282
"RELA","CTSL",0.052856915
"SUMO2","TNFRSF1B",0.05282725
"BATF3","MAP1LC3B",0.05282049
"IRF1","ACTN1",0.052806254
"STAT1","RPLP0",0.05271634
"IRF4","TBRG1",0.052706406
"SUMO2","PSMB2",0.052669168
"SUMO1","RPL5",0.052666593
"IRF1","MORF4L2",0.052649662
"RELA","UBC",0.05257572
"CTCF","ATP6V0E",0.05252248
"ATF3","MRFAP1",0.05251508
"BATF3","CTNNB1",0.05250191
"CTCF","ARL6IP1",0.052466355
"RELA","ATP1B3",0.052443698
"BATF3","HMGN2",0.05240677
"CTCF","SNX2",0.052400906
"STAT3","RUVBL2",0.052398644
"SUMO2","ING1",0.05234344
"RELA","SEC61B",0.052342054
"ATF4","ATP6V0E",0.052340705
"CTCF","FOS",0.05231452
"CTCF","NPTN",0.05227149
"RELA","SSU72",0.052271094
"BATF3","NONO",0.05220238
"BATF3","CCRL2",0.052193336
"MAFF","CAPZB",0.05218171
"SUMO2","YEATS4",0.05217342
"IRF1","HNRNPAB",0.052156422
"SUMO2","MED1",0.052055717
"IRF1","TCOF1",0.05202063
"CTCF","IAH1",0.05196116
"STAT1","NAA20",0.05195072
"SUMO2","BACH1",0.051929317
"CTCF","TSG101",0.05191636
"SUMO2","CASP1",0.05191494
"IRF1","SSR4",0.051882595
"CTCF","NCF1",0.05184612
"STAT3","SLC2A6",0.051833842
"IRF4","SAMHD1",0.05169698
"BATF3","ATP5O",0.05162003
"ATF4","SLAMF9",0.05157387
"BATF3","SMARCB1",0.05151188
"CTCF","SAR1B",0.051482435
"CTCF","P2RY14",0.051465895
"STAT1","ZEB2",0.05146509
"CTCF","CLEC4A3",0.051441878
"BATF3","BUD31",0.05140471
"STAT1","PTMA",0.051395953
"RELA","ATF4",0.05135271
"BATF3","POLDIP3",0.051343683
"MAFF","LAPTM5",0.05134241
"STAT1","RPS28",0.05126778
"STAT1","TALDO1",0.05121051
"STAT1","F10",0.05116496
"NFKB1","RBM7",0.05115333
"STAT1","IRF5",0.051142413
"BATF3","ATPIF1",0.05100977
"CTCF","POLDIP3",0.051008847
"IRF1","DYNLT1B",0.050986577
"SUMO1","RPL9",0.050903212
"BATF3","NFIL3",0.050893225
"STAT3","VIM",0.05088741
"BATF3","DEGS1",0.05074424
"STAT1","STAT6",0.05066674
"BATF3","PRDX2",0.05062218
"CTCF","TLR4",0.050575398
"CTCF","PLAUR",0.050490063
"BATF3","POLR2G",0.050446134
"BATF3","TREX1",0.050403226
"ATF4","MDM2",0.050368648
"IRF1","FTL1",0.05031998
"BATF3","HK2",0.05027896
"BATF3","SSNA1",0.050267365
"MAFF","CCT3",0.050184365
"SUMO1","RPL6",0.050177876
"IRF4","ATP1B3",0.05014275
"NFKB1","RNF181",0.050114177
"IRF1","NAGA",0.050102502
"IRF1","CCL17",0.05010071
"CTCF","CD68",0.05006451
"STAT1","RHOG",0.05006245
"CTCF","RPL24",0.050057314
"STAT1","USF2",0.05003215
"RELA","PPIB",0.050023686
"CTCF","CALM1",0.050017487
"STAT1","SAT1",0.049937535
"BATF3","SUB1",0.049846176
"STAT1","PTPRC",0.049832623
"CTCF","PER1",0.049796436
"STAT1","SNRPE",0.049712345
"IRF4","PRDX6",0.049706295
"RELA","ATP5L",0.049704175
"ATF4","PSMB5",0.049678218
"IRF1","CNOT2",0.049675424
"BATF3","TPD52",0.04967311
"ATF4","ATP6AP2",0.04965204
"CTCF","UCP2",0.04962416
"STAT3","IGSF6",0.04962347
"STAT1","CTSZ",0.049603127
"STAT1","MRFAP1",0.049558144
"IRF4","HSP90AB1",0.049533572
"CTCF","SRSF3",0.04953284
"IRF4","SQSTM1",0.049480837
"BATF3","MGST1",0.049462024
"STAT1","PRDX5",0.049420565
"CTCF","GTF2F1",0.049334705
"CTCF","PLEK",0.049330927
"CTCF","TES",0.04929888
"STAT1","UBE2K",0.049288623
"BATF3","TIMM8B",0.04923717
"STAT1","EGR1",0.04919018
"IRF1","RPS7",0.049166325
"RELA","TSG101",0.049024973
"SUMO2","MT2",0.0489239
"RELA","SIN3B",0.048882093
"MAFF","IL1A",0.048867654
"STAT1","RNF181",0.04886027
"RELA","MTHFS",0.048836377
"BATF3","PCNP",0.048818752
"IRF4","UCP2",0.048748363
"IRF4","GTF2F1",0.048696138
"SUMO2","PSMB8",0.048682887
"SUMO2","FCF1",0.04865239
"CTCF","ATP1B3",0.048648592
"IRF4","MAP1LC3B",0.04861991
"CTCF","PGAP2",0.048556745
"STAT3","MMP12",0.048527278
"SUMO2","GTF2F1",0.048519716
"IRF4","IFRD1",0.048510868
"SUMO2","CCT5",0.04848004
"MAFF","CLEC7A",0.048444483
"ATF4","BACH1",0.04842116
"IRF4","STAT1",0.048343103
"SUMO2","PRDX6",0.048261166
"CTCF","FCER1G",0.048259348
"STAT1","RPL6",0.048200786
"CTCF","CIITA",0.04820051
"ATF4","IDH1",0.048182227
"STAT3","IRF5",0.04815143
"IRF4","RHOA",0.048150145
"STAT1","ANXA5",0.048144814
"RELA","SLC25A5",0.04802674
"CTCF","TPD52",0.047982566
"CTCF","LEPROT",0.047918636
"STAT1","PSMC6",0.0478469
"STAT3","SLC3A2",0.04778136
"IRF1","LMO4",0.04772846
"IRF1","H2AFV",0.04766041
"IRF4","WDR1",0.047647662
