	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DDX21	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
HDAC3	0.0422	0.05161	0.1952	0.1201	0.06595	0.1808	0.1941	0.04011	0.07473	0.2049	0.05603	0.0464	0.1604	0.04398	0.05151	0.04818	0.05071	0.04901	0.1333	0.05189	0.06059	0.117	0.04106	0.04999	0.06071	0.06665	0.05939	0.9337	0.9368	1	0.05426	0.06845	0.08692	0.04084	0.04136	0.1052	0.05919	0.07291	0.04323	0.0478	0.04921	0.04159	0.05356	0.05461	0.08026	0.05382	0.04173	0.07288	0.05798	0.05428	0.04105	0.07657	0.03617	0.07047	0.05592	0.0716	0.05218	0.09431	0.04765	0.04804	0.04694	0.04728	0.1982	0.2045	0.07752	0.06161	0.07058	0.0554	0.06654	0.0384	0.06415	0.03632	0.0595	0.04778	0.04961	0.04566	0.07171	0.04203	0.06849	0.05411	0.0441	0.06487	0.04265	0.03442	0.09705	0.03932	0.05961	0.07551	0.05632
HEXIM1	0.07173	0.07076	0.0723	0.171	0.06083	0.06668	0.06999	0.07756	0.08389	0.07725	0.09216	0.1086	0.2161	0.05154	0.0832	0.0848	0.07127	0.05895	0.122	0.08831	0.08086	0.05891	0.08006	0.08101	0.06255	0.06965	0.07265	0.06084	0.06082	0.0492	1	0.07967	0.1421	0.0538	0.06052	0.2701	0.02203	0.07928	0.06329	0.08951	0.08877	0.08903	0.1134	0.06416	0.1354	0.0844	0.04432	0.0877	0.05884	0.07638	0.05192	0.06697	0.05287	0.06019	0.07218	0.07948	0.06608	0.1386	0.07845	0.07469	0.08132	0.0899	0.07186	0.08396	0.0583	0.06439	0.1006	0.06429	0.07534	0.09468	0.07139	0.07339	0.1309	0.08578	0.0669	0.09108	0.1291	0.08667	0.08395	0.0615	0.07233	0.07082	0.07284	0.06713	0.06479	0.09661	0.07509	0.09244	0.08962
JARID2	0.07583	0.03357	0.04442	0.1413	0.09612	0.03477	0.03581	0.04853	0.06243	0.03833	0.0642	0.08629	0.1618	0.05015	0.03371	0.07327	0.07419	0.04037	0.2069	0.0685	0.04449	0.04973	0.06956	0.03907	0.04293	0.0328	0.03069	0.04832	0.03032	0.06073	0.07967	1	0.08288	0.3561	0.06163	0.1939	0.04632	0.02625	0.04476	0.05264	0.0663	0.06717	0.07469	0.07519	0.1061	0.05527	0.06531	0.05924	0.04341	0.09526	0.02332	0.07628	0.05764	0.06472	0.03453	0.03819	0.1133	0.09023	0.03954	0.0382	0.03683	0.05182	0.03622	0.03028	0.03495	0.05267	0.07155	0.06426	0.04425	0.05701	0.03191	0.02561	0.05419	0.07204	0.04161	0.1028	0.09935	0.05109	0.05837	0.04543	0.07265	0.04241	0.0516	0.03762	0.07497	0.07897	0.07646	0.03501	0.03599
JUN	0.07285	0.07616	0.08808	0.1248	0.06278	0.08662	0.06348	0.06508	0.08067	0.08658	0.08044	0.07526	0.2751	0.0725	0.07327	0.08132	0.06567	0.05523	0.1073	0.07441	0.05377	0.07134	0.08724	0.07961	0.07687	0.1014	0.05861	0.06411	0.07126	0.05193	0.1587	0.08927	1	0.05534	0.05728	0.4122	0.06851	0.09025	0.08876	0.08578	0.07727	0.14	0.06578	0.06932	0.09288	0.07679	0.06299	0.06799	0.08006	0.1155	0.042	0.08483	0.07188	0.05948	0.07794	0.09124	0.07236	0.0886	0.1247	0.08712	0.06685	0.06037	0.09261	0.08466	0.08252	0.08995	0.08229	0.06172	0.06569	0.1134	0.09103	0.08432	0.1492	0.09276	0.06156	0.1753	0.09788	0.07828	0.08977	0.05974	0.08349	0.09732	0.07792	0.04976	0.07483	0.08773	0.0883	0.1599	0.06983
KDM5B	0.0581	0.03882	0.03983	0.1385	0.06994	0.03381	0.04437	0.03597	0.07052	0.03184	0.07255	0.06595	0.1995	0.06493	0.02839	0.05762	0.08871	0.03785	0.1289	0.06542	0.02714	0.05147	0.05682	0.02397	0.02935	0.0245	0.02369	0.03793	0.04505	0.06523	0.0538	0.3601	0.08392	1	0.05495	0.1293	0.05573	0.0355	0.06798	0.03123	0.0732	0.04966	0.1136	0.07396	0.171	0.04307	0.05043	0.07312	0.06045	0.132	0.04356	0.08832	0.04591	0.06817	0.03257	0.0597	0.1054	0.08084	0.02758	0.02668	0.053	0.05318	0.02373	0.02441	0.03897	0.05558	0.08657	0.05701	0.03383	0.03384	0.02365	0.02186	0.05902	0.0661	0.06548	0.1499	0.1197	0.03507	0.08775	0.04993	0.06119	0.06373	0.07902	0.05832	0.08619	0.06397	0.07546	0.03463	0.03403
KLF4	0.05546	0.0599	0.0468	0.09945	0.07229	0.07032	0.02684	0.1538	0.06978	0.06651	0.08011	0.06599	0.1299	0.03963	0.0768	0.07119	0.1223	0.05377	0.1219	0.07584	0.06721	0.08343	0.07677	0.1676	0.1582	0.06157	0.07162	0.05164	0.0562	0.03259	0.05958	0.05637	0.08381	0.0536	1	0.1306	0.03267	0.04768	0.05665	0.09249	0.05215	0.06667	0.1062	0.08109	0.1087	0.05847	0.05514	0.07481	0.03943	0.08413	0.04654	0.07481	0.1502	0.07061	0.07445	0.05409	0.07228	0.095	0.1286	0.05372	0.04613	0.07326	0.05761	0.06525	0.04541	0.08927	0.1056	0.06206	0.05617	0.06017	0.05128	0.0594	0.07134	0.09524	0.0604	0.06342	0.1061	0.1659	0.2536	0.1297	0.178	0.066	0.07506	0.05028	0.2656	0.05297	0.07492	0.06811	0.1089
MAFK	0.09505	0.3051	0.1604	0.1074	0.1377	0.1699	0.1277	0.1329	0.1725	0.1055	0.08235	0.0987	0.2749	0.09413	0.1318	0.1529	0.1307	0.09282	0.149	0.08306	0.194	0.2706	0.1249	0.1782	0.1308	0.1668	0.1553	0.09438	0.1139	0.1052	0.2218	0.1939	0.2871	0.1606	0.07395	1	0.1022	0.1937	0.08037	0.134	0.1047	0.2232	0.1263	0.08839	0.1988	0.3383	0.1629	0.08583	0.09032	0.1169	0.07059	0.1172	0.09721	0.09392	0.1347	0.1352	0.2148	0.09132	0.2195	0.1022	0.1082	0.1496	0.2646	0.123	0.3136	0.1355	0.1126	0.07567	0.1204	0.1365	0.1228	0.1283	0.2896	0.1336	0.3031	0.2001	0.3132	0.1104	0.1528	0.1531	0.1018	0.1137	0.08668	0.1274	0.08544	0.1034	0.1067	0.2581	0.1411
MAPK8	0.09378	0.1076	0.07977	0.09237	0.06054	0.07238	0.0487	0.03961	0.07996	0.04993	0.07085	0.05659	0.1219	0.03623	0.08371	0.09419	0.08268	0.04244	0.1161	0.1121	0.08952	0.1022	0.02828	0.06741	0.05432	0.07007	0.04197	0.0864	0.07792	0.07721	0.03121	0.05645	0.07127	0.06813	0.05289	0.1422	1	0.07539	0.08528	0.03704	0.05019	0.06056	0.06987	0.05145	0.1034	0.07448	0.09863	0.1082	0.05515	0.0742	0.1245	0.07285	0.04199	0.1288	0.03211	0.1178	0.07568	0.05607	0.06318	0.06854	0.04706	0.04748	0.05886	0.0574	0.05825	0.0553	0.07017	0.0684	0.06754	0.06556	0.05568	0.06368	0.07275	0.07652	0.1316	0.06808	0.085	0.04305	0.0694	0.06014	0.04502	0.09262	0.05126	0.07145	0.03367	0.04448	0.07276	0.06207	0.04438
MED12	0.01956	0.04487	0.09753	0.1332	0.09316	0.02718	0.05878	0.04059	0.05968	0.02832	0.08401	0.08485	0.1542	0.0682	0.02525	0.04093	0.08661	0.04128	0.1863	0.1155	0.06268	0.09605	0.04561	0.03011	0.03246	0.01519	0.02363	0.04825	0.05585	0.06579	0.07946	0.02455	0.08666	0.03558	0.04849	0.1915	0.1009	1	0.06823	0.04657	0.06464	0.0775	0.1044	0.06738	0.113	0.04249	0.09002	0.03847	0.07822	0.06217	0.04356	0.09599	0.04007	0.1292	0.0281	0.09597	0.06804	0.1018	0.04172	0.05906	0.03939	0.04993	0.02585	0.05255	0.04143	0.07073	0.06818	0.06715	0.04123	0.03902	0.0196	0.01954	0.05439	0.08433	0.05762	0.1004	0.1115	0.0346	0.09674	0.08546	0.04667	0.08606	0.06306	0.05605	0.06232	0.05407	0.09608	0.03711	0.02584
MEN1	0.1162	0.06507	0.123	0.09392	0.06293	0.04425	0.07302	0.04916	0.08895	0.04322	0.09649	0.06471	0.1619	0.04881	0.04171	0.04465	0.06206	0.09405	0.1607	0.0956	0.06181	0.09985	0.06615	0.04556	0.04293	0.04804	0.04626	0.0603	0.03494	0.06431	0.0653	0.05124	0.07168	0.06603	0.05775	0.1775	0.08528	0.1499	1	0.04205	0.05705	0.06471	0.08424	0.06228	0.1317	0.05544	0.07068	0.09923	0.06573	0.05678	0.03549	0.1026	0.04304	0.1285	0.05324	0.1442	0.08396	0.1026	0.05269	0.07247	0.04972	0.06858	0.08225	0.05567	0.05831	0.05296	0.07009	0.08445	0.03598	0.04991	0.04678	0.05035	0.05533	0.1194	0.04601	0.1033	0.06856	0.04671	0.06936	0.05289	0.05666	0.07629	0.05431	0.05269	0.06973	0.05456	0.05645	0.04467	0.05246
MPHOSPH8	0.04872	0.04571	0.0691	0.3891	0.1371	0.03744	0.04489	0.04807	0.05665	0.05131	0.07284	0.08668	0.2147	0.05052	0.1806	0.07639	0.07197	0.04445	0.1282	0.1062	0.03779	0.04956	0.08837	0.05762	0.04264	0.02991	0.03969	0.04949	0.04832	0.05078	0.1103	0.05404	0.08591	0.02404	0.09196	0.134	0.03704	0.04413	0.0402	1	0.0467	0.06869	0.09189	0.08242	0.1252	0.07806	0.05957	0.04673	0.04541	0.09564	0.05447	0.104	0.05245	0.04632	0.04037	0.03093	0.1076	0.1109	0.05454	0.05203	0.03922	0.06225	0.04232	0.05702	0.03706	0.06493	0.06943	0.03268	0.05304	0.05183	0.05406	0.0373	0.05746	0.09691	0.05008	0.09102	0.09268	0.05116	0.06978	0.06972	0.06881	0.04048	0.06463	0.04769	0.0598	0.06142	0.07228	0.04353	0.05172
MTF2	0.04584	0.08445	0.04143	0.1206	0.07819	0.08717	0.03836	0.07079	0.04745	0.05593	0.07817	0.07151	0.1887	0.06763	0.05482	0.09094	0.06131	0.05554	0.1045	0.06693	0.05446	0.04386	0.07682	0.05631	0.062	0.07885	0.04844	0.04269	0.06162	0.04864	0.07261	0.06282	0.09678	0.08556	0.08265	0.1347	0.06366	0.05412	0.05078	0.04907	1	0.08665	0.1015	0.05719	0.1634	0.0548	0.05905	0.07253	0.06831	0.1122	0.03564	0.05157	0.0411	0.05917	0.05954	0.04816	0.07545	0.08045	0.04575	0.04375	0.05173	0.07567	0.0488	0.0578	0.04977	0.08077	0.1148	0.06607	0.04428	0.06377	0.06518	0.06784	0.04652	0.1445	0.06675	0.1037	0.09654	0.05675	0.1095	0.04146	0.06045	0.04814	0.1169	0.04987	0.08241	0.0711	0.07043	0.06093	0.0539
MYC	0.06752	0.05699	0.04856	0.0953	0.08309	0.06066	0.04506	0.05845	0.07352	0.05371	0.09536	0.09123	0.1037	0.07162	0.09041	0.08269	0.07992	0.07357	0.1178	0.05634	0.06591	0.05951	0.06724	0.0487	0.06271	0.05974	0.05556	0.05421	0.05534	0.06148	0.1243	0.06494	0.1427	0.07607	0.09394	0.102	0.03423	0.07221	0.04833	0.07639	0.05015	1	0.08297	0.05903	0.1186	0.05971	0.04976	0.07722	0.06289	0.1079	0.04824	0.08078	0.07207	0.06321	0.06239	0.05094	0.1019	0.1136	0.0591	0.06203	0.05631	0.04974	0.05795	0.0653	0.06749	0.06619	0.07325	0.05733	0.05426	0.157	0.0863	0.0613	0.1824	0.1383	0.05585	0.1035	0.0977	0.06006	0.11	0.06047	0.06887	0.06437	0.05638	0.0573	0.07655	0.3258	0.05537	0.09015	0.06384
NANOG	0.08091	0.08532	0.07423	0.1231	0.08208	0.1179	0.04144	0.08148	0.1047	0.08203	0.101	0.08699	0.1495	0.1044	0.088	0.09833	0.0707	0.1066	0.1907	0.07587	0.1116	0.1275	0.08624	0.106	0.09581	0.1247	0.0931	0.07236	0.1153	0.06265	0.09442	0.111	0.07843	0.06695	0.1038	0.1856	0.06337	0.104	0.08424	0.101	0.06229	0.09164	1	0.07791	0.1155	0.1155	0.06631	0.07308	0.06995	0.2531	0.06087	0.2266	0.07066	0.08536	0.08635	0.1179	0.1036	0.09694	0.1172	0.07867	0.09399	0.06153	0.09657	0.07579	0.1277	0.09694	0.09593	0.07059	0.09841	0.1022	0.1082	0.1135	0.09781	0.2111	0.1101	0.1622	0.1228	0.08696	0.09893	0.05101	0.1228	0.09332	0.07513	0.07668	0.08543	0.07957	0.0883	0.1177	0.1127
NFYA	0.06073	0.07394	0.1023	0.1365	0.05829	0.04912	0.07427	0.07676	0.07191	0.06554	0.0638	0.08459	0.1239	0.06997	0.0621	0.06798	0.07161	0.06198	0.145	0.05308	0.06391	0.05748	0.06672	0.06647	0.05307	0.05437	0.05731	0.0494	0.05111	0.04363	0.06222	0.05878	0.07891	0.05228	0.05883	0.08144	0.05167	0.07994	0.05883	0.07337	0.06032	0.08894	0.08059	1	0.07466	0.05491	0.08036	0.06103	0.07886	0.07906	0.04211	0.05234	0.07691	0.05675	0.06845	0.06744	0.07646	0.07594	0.06216	0.07886	0.0514	0.08445	0.05812	0.06145	0.05299	0.0633	0.0575	0.07114	0.06094	0.07235	0.06959	0.07015	0.09122	0.1068	0.07056	0.0604	0.07849	0.06223	0.06531	0.0638	0.05272	0.06605	0.06806	0.05586	0.07912	0.0846	0.0621	0.06831	0.0712
NFYB	0.1307	0.1114	0.1609	0.1225	0.1083	0.1287	0.1178	0.08587	0.09877	0.09868	0.06766	0.1396	0.5337	0.1468	0.1543	0.1122	0.1312	0.1398	0.1813	0.06856	0.1311	0.1108	0.08303	0.0859	0.09617	0.1243	0.08053	0.06931	0.07191	0.09609	0.1388	0.09666	0.1679	0.1172	0.09977	0.1779	0.09494	0.1115	0.1064	0.111	0.07	0.1476	0.1226	0.07286	1	0.1418	0.07664	0.08561	0.1555	0.09685	0.0816	0.1242	0.07405	0.07103	0.1307	0.1759	0.1206	0.08993	0.1453	0.1554	0.1393	0.08429	0.2015	0.1876	0.1519	0.1541	0.1418	0.154	0.1068	0.1645	0.1069	0.1251	0.1341	0.131	0.1137	0.1358	0.1202	0.115	0.1589	0.06955	0.1356	0.1367	0.07512	0.07531	0.07527	0.1659	0.1068	0.1377	0.1676
NONO	0.04227	0.05145	0.05139	0.07705	0.05783	0.06353	0.06154	0.05485	0.06074	0.1157	0.07024	0.06919	0.2091	0.04499	0.04655	0.06181	0.07749	0.07819	0.0638	0.06593	0.05625	0.08823	0.05709	0.04993	0.05821	0.03974	0.05292	0.03465	0.04677	0.04786	0.07393	0.08127	0.07861	0.05133	0.06181	0.2767	0.07448	0.04249	0.05606	0.05815	0.0548	0.06366	0.06542	0.05333	0.0814	1	0.03951	0.04602	0.05508	0.07312	0.04029	0.09809	0.05015	0.05524	0.04508	0.04674	0.07305	0.1337	0.07611	0.06479	0.04885	0.05087	0.04637	0.04797	0.08941	0.06185	0.08226	0.04661	0.05038	0.05484	0.04428	0.0669	0.09684	0.09501	0.06118	0.05997	0.06129	0.06448	0.06763	0.05413	0.06465	0.06136	0.05779	0.05189	0.06147	0.05491	0.05842	0.07528	0.05483
NR0B1	0.04997	0.1108	0.0911	0.1172	0.06322	0.1008	0.04804	0.05201	0.04057	0.0504	0.08066	0.09509	0.1439	0.04184	0.05686	0.1082	0.1246	0.05892	0.1949	0.338	0.04954	0.07565	0.0826	0.05763	0.04268	0.05429	0.06868	0.04384	0.04183	0.04031	0.07516	0.05658	0.05698	0.04783	0.05794	0.1519	0.05405	0.05962	0.04631	0.05749	0.05012	0.07163	0.07099	0.08036	0.1138	0.03233	1	0.2982	0.06079	0.07077	0.05217	0.1151	0.04047	0.3271	0.067	0.06725	0.06508	0.1025	0.04906	0.09264	0.037	0.04337	0.05812	0.06396	0.07162	0.05362	0.06891	0.07841	0.04591	0.0807	0.0666	0.05259	0.06096	0.08177	0.08422	0.06013	0.06893	0.05085	0.1066	0.06918	0.05346	0.06128	0.07671	0.04644	0.08142	0.08104	0.089	0.08175	0.05995
NR4A1	0.05468	0.06839	0.06635	0.1369	0.07202	0.06191	0.03436	0.04376	0.06541	0.0645	0.09864	0.09516	0.1828	0.05847	0.06581	0.06016	0.09663	0.07666	0.246	0.5197	0.06744	0.08496	0.07725	0.07072	0.06708	0.04033	0.04594	0.06606	0.06136	0.07288	0.07311	0.07108	0.06667	0.06836	0.07329	0.196	0.088	0.04567	0.0971	0.08082	0.07372	0.0568	0.0735	0.07006	0.1155	0.04678	0.2981	1	0.05424	0.08927	0.05957	0.08295	0.04745	0.604	0.05433	0.07104	0.06511	0.06478	0.05831	0.07418	0.04411	0.0465	0.06487	0.0904	0.06255	0.06176	0.0823	0.05192	0.05089	0.04826	0.05321	0.05202	0.04644	0.07532	0.06909	0.06454	0.1077	0.06177	0.0746	0.06613	0.05357	0.06493	0.06069	0.04601	0.1002	0.07993	0.07514	0.05055	0.0589
NRF1	0.03869	0.08117	0.05527	0.1343	0.0574	0.06915	0.06787	0.03902	0.05334	0.04786	0.06973	0.09705	0.1461	0.06911	0.0422	0.06098	0.05396	0.06309	0.1436	0.0617	0.04453	0.06821	0.03773	0.08845	0.06776	0.06647	0.06046	0.05195	0.05552	0.06664	0.06514	0.04395	0.08671	0.06351	0.06554	0.1246	0.05326	0.08296	0.06722	0.05998	0.07917	0.05467	0.1029	0.08961	0.1127	0.07392	0.0522	0.06582	1	0.09368	0.04859	0.08743	0.04428	0.04775	0.05755	0.04888	0.07298	0.08939	0.07848	0.1051	0.05358	0.05194	0.07382	0.05895	0.05743	0.06822	0.07536	0.04336	0.05887	0.04976	0.05804	0.04355	0.06494	0.0951	0.06647	0.09792	0.09034	0.04742	0.09199	0.07919	0.0455	0.08357	0.0828	0.04837	0.06505	0.05765	0.0638	0.05567	0.07018
OTX2	0.06989	0.08232	0.1069	0.1581	0.09461	0.09244	0.0546	0.08134	0.08093	0.1024	0.07985	0.084	0.1734	0.09605	0.09505	0.1008	0.08549	0.1295	0.1401	0.07887	0.07911	0.09055	0.08206	0.1007	0.07194	0.0962	0.1244	0.06015	0.05751	0.04683	0.08617	0.07472	0.1155	0.1228	0.08458	0.1799	0.03508	0.06818	0.07532	0.1021	0.09063	0.1079	0.2531	0.07906	0.1251	0.1039	0.06656	0.09189	0.06132	1	0.07645	0.2301	0.06594	0.0801	0.08378	0.08417	0.09096	0.08965	0.1077	0.1406	0.06844	0.06649	0.08086	0.1033	0.1205	0.08395	0.1325	0.0742	0.07333	0.0725	0.07458	0.07941	0.08903	0.1946	0.07872	0.1567	0.1041	0.08759	0.1004	0.05756	0.07673	0.08606	0.08063	0.07085	0.0794	0.08011	0.1272	0.08072	0.1131
PARP1	0.05662	0.03986	0.04822	0.163	0.07026	0.03701	0.06388	0.04822	0.03212	0.04502	0.09815	0.08696	0.1455	0.08753	0.02988	0.04284	0.08781	0.03874	0.1121	0.08095	0.06591	0.05239	0.05336	0.02585	0.02489	0.03868	0.04594	0.05026	0.04405	0.04105	0.05925	0.02881	0.084	0.02813	0.05688	0.079	0.08829	0.04744	0.03864	0.05679	0.03617	0.04705	0.07631	0.03932	0.1271	0.08361	0.06037	0.06861	0.0416	0.09832	1	0.09363	0.03127	0.09008	0.02017	0.03917	0.05664	0.08434	0.03412	0.04658	0.05821	0.06676	0.04084	0.04647	0.05826	0.04945	0.0667	0.0564	0.0455	0.06137	0.02899	0.02221	0.0392	0.08269	0.05062	0.05592	0.07857	0.02939	0.07378	0.04523	0.04457	0.04643	0.07072	0.05551	0.08556	0.05808	0.07213	0.03502	0.04517
POU5F1	0.08687	0.1212	0.09156	0.1516	0.05331	0.1054	0.0557	0.0829	0.1034	0.06795	0.07517	0.07305	0.1952	0.07757	0.1108	0.0928	0.09011	0.1058	0.1379	0.07215	0.07573	0.09138	0.07219	0.07681	0.0548	0.1047	0.08881	0.05495	0.08151	0.06498	0.08843	0.08165	0.07466	0.09262	0.05979	0.163	0.07285	0.07613	0.05734	0.08701	0.06373	0.07629	0.2361	0.07867	0.09386	0.09205	0.08156	0.06099	0.07746	0.2301	0.1193	1	0.05644	0.06072	0.07502	0.06351	0.06834	0.07906	0.08528	0.07575	0.0671	0.06094	0.0888	0.06892	0.09807	0.0772	0.06402	0.06397	0.08097	0.09506	0.08883	0.07579	0.09679	0.2026	0.05372	0.07957	0.1374	0.1145	0.1097	0.05926	0.05852	0.07636	0.05824	0.05841	0.0549	0.07646	0.1295	0.1454	0.07859
PRDM14	0.04536	0.05058	0.05436	0.1159	0.07054	0.04632	0.05667	0.1699	0.05646	0.04116	0.1011	0.07543	0.1812	0.05676	0.1772	0.041	0.06493	0.05887	0.1214	0.04432	0.1643	0.02968	0.06577	0.1839	0.1803	0.04452	0.04172	0.03226	0.04681	0.04022	0.05287	0.04719	0.07104	0.04591	0.1502	0.1015	0.04199	0.05489	0.0442	0.05554	0.03956	0.06493	0.07086	0.09517	0.07353	0.0502	0.03941	0.04645	0.05795	0.06677	0.05004	0.0603	1	0.04788	0.1957	0.04937	0.08896	0.09122	0.1033	0.04762	0.03789	0.05483	0.05166	0.04701	0.03973	0.05987	0.08752	0.04834	0.05024	0.04991	0.04368	0.06235	0.05036	0.09643	0.04793	0.06395	0.04188	0.1988	0.3558	0.1319	0.2389	0.04795	0.05169	0.04841	0.2086	0.05918	0.04204	0.06216	0.1207
RARA	0.09652	0.08931	0.08796	0.1038	0.05226	0.07044	0.04662	0.06504	0.08494	0.05312	0.08935	0.08896	0.1801	0.03732	0.07835	0.0855	0.07211	0.08527	0.2288	0.5252	0.08134	0.09989	0.07665	0.06455	0.05579	0.06961	0.05986	0.04411	0.0574	0.07047	0.06465	0.07289	0.06106	0.07737	0.07735	0.191	0.08931	0.129	0.129	0.07867	0.06719	0.05195	0.08878	0.05848	0.1118	0.06288	0.3236	0.6168	0.04448	0.09122	0.09134	0.1479	0.04788	1	0.05338	0.1036	0.09199	0.0859	0.06965	0.07985	0.04657	0.07695	0.05544	0.1139	0.09568	0.0539	0.08445	0.07346	0.05338	0.06619	0.06779	0.04802	0.08077	0.08466	0.08414	0.08339	0.1178	0.05624	0.09138	0.06764	0.0548	0.08688	0.05588	0.05434	0.08606	0.05382	0.1204	0.04688	0.06865
REST	0.03818	0.04293	0.02742	0.1042	0.07715	0.04634	0.03769	0.1461	0.0528	0.03784	0.06811	0.07179	0.1425	0.07506	0.03378	0.05194	0.08133	0.04574	0.1059	0.065	0.0676	0.02723	0.08554	0.1027	0.1026	0.04044	0.04875	0.05582	0.05285	0.04923	0.09549	0.03142	0.07813	0.03562	0.1471	0.1197	0.05784	0.03561	0.05335	0.04037	0.06651	0.07461	0.07762	0.06774	0.1009	0.05467	0.06195	0.05312	0.08148	0.0907	0.02014	0.08801	0.1931	0.05778	1	0.02809	0.08213	0.1165	0.1176	0.03174	0.03391	0.04697	0.04275	0.05283	0.0443	0.07263	0.08225	0.04352	0.05544	0.04546	0.05862	0.03912	0.06927	0.1273	0.04389	0.09134	0.1075	0.1229	0.3183	0.1443	0.1555	0.04812	0.06801	0.06101	0.2104	0.07037	0.06209	0.05242	0.04963
RIF1	0.02569	0.04278	0.1353	0.1082	0.05813	0.03108	0.05875	0.04762	0.07086	0.05995	0.08613	0.1046	0.176	0.07699	0.03017	0.05732	0.07287	0.0244	0.1553	0.1064	0.04162	0.06548	0.06107	0.02716	0.02863	0.02967	0.02764	0.06304	0.06136	0.0578	0.1007	0.03381	0.07329	0.04592	0.05906	0.1562	0.09998	0.09599	0.1596	0.04732	0.04299	0.06811	0.1412	0.06244	0.1787	0.04004	0.1107	0.05219	0.05214	0.06006	0.03983	0.07531	0.04861	0.1161	0.03807	1	0.09766	0.1007	0.04764	0.03363	0.05566	0.05432	0.03019	0.03694	0.03727	0.06763	0.06195	0.05789	0.0324	0.04711	0.02221	0.02804	0.05348	0.05945	0.0542	0.09115	0.1138	0.04597	0.09674	0.0621	0.06235	0.08881	0.06233	0.0427	0.06547	0.06189	0.07032	0.03586	0.03807
RNF2	0.08593	0.1107	0.06405	0.1279	0.07317	0.09518	0.0637	0.07355	0.1144	0.05892	0.09369	0.09119	0.2076	0.05045	0.09044	0.07572	0.06235	0.1213	0.1452	0.082	0.05388	0.1078	0.09947	0.06467	0.05799	0.09034	0.07144	0.07226	0.0656	0.06086	0.07362	0.08984	0.06982	0.1044	0.07401	0.2172	0.07568	0.08575	0.08396	0.07494	0.05837	0.08697	0.1118	0.07646	0.1054	0.1381	0.06972	0.1011	0.07702	0.08123	0.08569	0.07673	0.07314	0.07999	0.08456	0.0555	1	0.1298	0.09982	0.08199	0.05025	0.1144	0.07579	0.07865	0.1234	0.06456	0.06992	0.1371	0.06323	0.1312	0.06967	0.06297	0.08284	0.0873	0.1444	0.05922	0.1356	0.06862	0.06691	0.06875	0.08327	0.05686	0.07315	0.07101	0.06902	0.05658	0.06762	0.07303	0.07095
RYBP	0.08105	0.09718	0.08065	0.1206	0.09866	0.06429	0.05207	0.08251	0.1134	0.1058	0.09406	0.08479	0.1074	0.07913	0.1001	0.08494	0.0647	0.0942	0.1054	0.0972	0.1195	0.1003	0.09769	0.0806	0.09718	0.09182	0.1228	0.0796	0.08001	0.05176	0.1368	0.0887	0.101	0.09463	0.1064	0.09132	0.05607	0.1018	0.1098	0.09466	0.08045	0.1029	0.09797	0.08456	0.07867	0.08967	0.09899	0.115	0.1132	0.0873	0.08472	0.08626	0.08919	0.08003	0.1117	0.1007	0.1297	1	0.09891	0.104	0.08315	0.07288	0.07825	0.07942	0.1017	0.08498	0.09928	0.07164	0.1161	0.0813	0.1298	0.1049	0.08628	0.08654	0.1117	0.09242	0.07196	0.09968	0.0903	0.07693	0.1031	0.09466	0.09487	0.09131	0.08919	0.0989	0.1323	0.08994	0.09493
SALL4	0.03236	0.0516	0.03114	0.1093	0.07911	0.03963	0.06078	0.1033	0.04117	0.03883	0.1058	0.1009	0.196	0.07357	0.04905	0.06373	0.05993	0.05664	0.136	0.0597	0.05405	0.02715	0.07489	0.05154	0.06836	0.04511	0.03809	0.05862	0.05985	0.04155	0.08222	0.03614	0.1143	0.04128	0.1194	0.2263	0.07166	0.03267	0.04543	0.04245	0.05828	0.07466	0.08265	0.06396	0.1179	0.07832	0.0457	0.04602	0.05175	0.1078	0.03467	0.09222	0.1073	0.06965	0.07724	0.04787	0.06607	0.09891	1	0.04907	0.04156	0.0379	0.04563	0.03768	0.03214	0.08603	0.09355	0.04994	0.04701	0.0514	0.03971	0.04544	0.07108	0.07932	0.04801	0.1046	0.1534	0.08864	0.2384	0.1261	0.1613	0.04667	0.07921	0.05785	0.1669	0.07791	0.07506	0.04294	0.1335
